Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
1,0,0,350,239,510,239,100,200,200,50,50
2,0,0,350,239,509,239,100,200,200,100,200
3,0,0,350,240,508,238,100,200,200,100,200
4,0,0,350,240,508,238,100,200,200,100,200
5,0,0,464,240,508,238,100,200,100,100,150
6,0,0,464,240,508,238,100,200,100,100,150
7,0,0,464,241,508,238,100,200,100,100,150
8,0,0,464,241,508,238,100,200,100,100,150
9,0,0,465,240,508,238,100,200,100,100,150
10,0,0,465,240,508,238,100,200,100,100,150
11,0,0,348,239,485,240,100,200,200,100,200
12,0,0,463,241,485,240,100,200,200,100,200
13,0,0,347,240,485,240,100,200,200,100,200
14,0,0,347,240,485,240,100,200,200,100,200
15,0,0,348,239,484,240,100,200,200,100,200
16,0,0,348,239,485,240,100,200,200,100,200
17,0,0,347,239,485,240,100,200,200,100,200
18,0,0,348,239,485,240,100,200,200,100,200
19,0,0,465,240,485,240,100,200,100,100,150
20,0,0,465,240,485,240,100,200,100,100,150
21,0,0,465,240,485,240,100,200,100,100,150
22,0,0,322,241,484,240,100,200,200,100,200
23,0,0,464,240,484,240,100,200,100,100,150
24,0,0,465,240,484,240,100,200,100,100,150
25,0,0,321,241,485,239,100,200,200,100,200
26,0,0,321,241,485,239,100,200,200,100,200
27,0,0,464,241,485,239,100,200,100,100,150
28,0,0,464,241,485,239,100,200,100,100,150
29,0,0,321,241,485,240,100,200,200,100,200
30,0,0,322,241,485,240,100,200,200,100,200
31,0,0,322,241,485,241,100,200,200,100,200
32,0,0,322,241,485,241,100,200,200,100,200
33,0,0,464,241,485,241,100,200,100,100,150
34,0,0,321,241,484,241,100,200,200,100,200
35,0,0,464,241,484,241,100,200,100,100,150
36,0,0,464,242,484,241,100,200,100,100,150
37,0,0,464,241,484,241,100,200,100,100,150
38,0,0,464,241,484,241,100,200,100,100,150
39,0,0,465,241,484,241,100,200,100,100,150
40,0,0,465,242,484,241,100,200,100,100,150
41,0,0,465,241,484,241,100,200,100,100,150
42,0,0,465,241,484,241,100,200,100,100,150
43,0,0,464,242,484,241,100,200,100,100,150
44,0,0,464,242,484,241,100,200,100,100,150
45,0,0,464,242,484,241,100,200,100,100,150
46,0,0,322,242,485,241,100,200,200,100,200
47,0,0,463,240,485,241,100,200,100,100,150
48,0,0,463,240,485,241,100,200,100,100,150
49,0,0,463,240,485,241,100,200,100,100,150
50,0,0,463,241,485,241,100,200,100,100,150
51,0,0,464,240,485,241,100,200,100,100,150
52,0,0,464,240,485,241,100,200,100,100,150
53,0,0,463,241,485,241,100,200,100,100,150
54,0,0,463,241,485,241,100,200,100,100,150
55,0,0,465,241,485,241,100,200,100,100,150
56,0,0,465,241,485,241,100,200,100,100,150
57,0,0,321,241,485,241,100,200,200,100,200
58,0,0,321,242,485,241,100,200,200,100,200
59,0,0,321,242,485,241,100,200,200,100,200
60,0,0,321,242,485,241,100,200,200,100,200
61,0,0,321,242,484,241,100,200,200,100,200
62,0,0,321,242,484,241,100,200,200,100,200
63,0,0,322,242,485,242,100,200,200,100,200
64,0,0,321,242,485,242,100,200,200,100,200
65,0,0,322,241,485,241,100,200,200,100,200
66,0,0,322,241,485,241,100,200,200,100,200
67,0,0,323,241,485,242,100,200,200,100,200
68,0,0,349,241,485,242,100,200,200,100,200
69,0,0,323,240,485,241,100,200,200,100,200
70,0,0,323,240,485,241,100,200,200,100,200
71,0,0,462,242,485,241,100,200,100,100,150
72,0,0,462,242,485,241,100,200,100,100,150
73,0,0,348,242,485,241,100,200,100,100,150
74,0,0,348,241,485,241,100,200,100,100,150
75,0,0,350,272,510,241,100,200,200,100,200
76,0,0,351,272,510,241,100,200,200,100,200
77,0,0,351,271,511,241,100,200,200,100,200
78,0,0,351,271,510,241,100,200,200,100,200
79,0,0,352,272,485,241,100,200,200,100,200
80,0,0,352,272,485,241,100,200,200,100,200
81,0,0,349,241,485,241,100,200,100,100,150
82,0,0,349,241,485,241,100,200,100,100,150
83,0,0,348,240,512,240,100,200,200,100,200
84,0,0,348,241,511,240,100,200,200,100,200
85,0,0,349,240,511,240,100,200,100,100,150
86,0,0,348,240,511,240,100,200,100,100,150
87,0,0,349,241,485,241,100,200,200,100,200
88,0,0,349,241,485,242,100,200,200,100,200
89,0,0,349,241,512,239,100,200,200,100,200
90,0,0,350,241,512,239,100,200,200,100,200
91,97,273,352,272,512,239,200,200,200,200,200
92,97,273,352,272,511,239,200,200,200,200,200
93,97,273,352,272,512,239,100,200,200,100,200
94,97,273,352,272,512,239,100,200,200,100,200
95,97,273,352,272,512,239,100,200,100,100,150
96,97,273,352,272,512,239,100,200,100,100,150
97,97,273,352,271,513,240,100,200,200,100,200
98,97,273,352,271,512,240,100,200,200,100,200
99,96,274,352,272,513,241,200,200,200,200,200
100,96,274,352,272,513,241,200,200,200,200,200
101,96,274,352,272,513,241,200,200,200,200,200
102,96,274,352,272,513,241,200,200,200,200,200
103,97,274,350,241,513,241,200,200,100,100,150
104,97,274,350,242,514,242,200,200,200,200,200
105,97,274,352,272,514,242,100,200,100,100,150
106,97,274,351,272,514,242,100,200,100,100,150
107,97,274,352,273,514,242,200,200,100,150,50
108,97,275,352,273,514,242,200,200,100,150,50
109,97,275,353,273,512,242,200,200,200,200,200
110,97,275,353,273,512,242,200,200,200,200,200
